AÑO,DEPARTAMENTO,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2011,Sucre,205779,1.0327,1.032,0.6867,1.0138,0.7615999999999999,0.4046,1.2304000000000002,1.3194,1.3949,1.1848999999999998,0.8826999999999999,0.0674,0.0951,0.055,0.0725,0.0818,0.8631,0.0092,0.8786,0.0725,0.8492000000000001,0.071,0.0092,0.8786,0.0929,0.0708,0.0046,0.0092,0.0055000000000000005,0.0044,0.0023
2011,Tolima,325983,0.888,0.8870999999999999,0.586,0.8648,0.7166,0.4133,1.0345,0.8298000000000001,1.1327,1.0725,0.8159000000000001,0.0461,0.0366,0.0434,0.0541,0.0395,0.9033,0.0023,0.9198999999999999,0.0541,0.9037000000000001,0.0506,0.0023,0.9198999999999999,0.07769999999999999,0.056799999999999996,0.0088,0.0023,0.008199999999999999,0.012199999999999999,0.004699999999999999
2011,Valle del Cauca,906602,0.8851,0.8833,0.5625,0.8683,0.7217,0.42060000000000003,1.015,0.9248000000000001,1.1137000000000001,1.0388,0.787,0.0424,0.0418,0.0373,0.0501,0.039900000000000005,0.9068999999999999,0.0058,0.9295,0.0501,0.8964,0.0507,0.0058,0.9295,0.079,0.0637,0.023,0.0058,0.0209,0.0322,0.0109
2011,Arauca,73431,0.7415,0.7411,0.49810000000000004,0.7109000000000001,0.5536,0.31489999999999996,0.8509,0.7573000000000001,0.9342,0.8588,0.6426000000000001,0.021400000000000002,0.019799999999999998,0.018600000000000002,0.0246,0.028300000000000002,0.9772,0.0,0.9814,0.0246,0.9571,0.0013,0.0,0.9814,0.0,0.0146,0.0278,0.0,0.0229,0.0437,0.020499999999999997
2011,Casanare,85803,1.0110999999999999,1.0105,0.7127,0.9947,0.8256,0.4264,1.1506999999999998,0.9458,1.2309,1.2623,0.8299,0.0388,0.032,0.034,0.046,0.0418,0.9212,0.0036,0.9396,0.046,0.9114,0.04,0.0036,0.9396,0.0644,0.046799999999999994,0.035699999999999996,0.0036,0.032,0.053899999999999997,0.0123
2011,Putumayo,93828,0.8046,0.8046,0.4915,0.8217,0.5636,0.2724,0.9362,0.8242,1.1023,0.9070999999999999,0.6285000000000001,0.0418,0.032400000000000005,0.0361,0.056299999999999996,0.0331,0.9561,0.0,0.9634999999999999,0.056299999999999996,0.945,0.0021,0.0,0.9634999999999999,0.0,0.0219,0.0337,0.0,0.0297,0.049100000000000005,0.019
2011,San Andrés,15852,0.6728000000000001,0.6723,0.57,0.6826000000000001,0.5908,0.39149999999999996,0.738,0.6234000000000001,0.7508,0.7879,0.6633,0.0172,0.0084,0.030299999999999997,0.0059,0.008199999999999999,0.9673,0.0,0.9626,0.0059,0.9556999999999999,0.0155,0.0,0.9626,0.0219,0.0361,0.0363,0.0,0.0344,0.0562,0.0132
2011,Amazonas,22223,0.8234,0.8231999999999999,0.6368,0.8723000000000001,0.5065,0.2191,0.9453,0.9449,1.1782,0.8245999999999999,0.5801,0.0546,0.0556,0.036699999999999997,0.0821,0.079,0.9116,0.0017000000000000001,0.9283,0.0821,0.8515,0.0338,0.0017000000000000001,0.9283,0.0316,0.0695,0.051500000000000004,0.0017000000000000001,0.051399999999999994,0.0639,0.0415
2011,Guainía,11920,0.7487,0.7487,0.6185,0.7359,0.2888,0.0842,0.9551999999999999,1.1275,1.3974000000000002,0.6884,0.3614,0.1094,0.1,0.1073,0.1162,0.1285,0.7392,0.1313,0.7337,0.1162,0.8086,0.155,0.1313,0.7337,0.15689999999999998,0.063,0.0077,0.1313,0.006999999999999999,0.0098,0.0021
2011,Guaviare,31133,0.6404000000000001,0.6402,0.32159999999999994,0.6542,0.45159999999999995,0.20079999999999998,0.7829999999999999,0.5206000000000001,0.9299,0.7815000000000001,0.5368999999999999,0.0902,0.0554,0.0891,0.1002,0.08900000000000001,0.9115000000000001,0.0,0.9173,0.1002,0.8893000000000001,0.0018,0.0,0.9173,0.0,0.0217,0.0241,0.0,0.0208,0.035,0.018600000000000002
